,name,company,year,Price,kms_driven,fuel_type
1109,Ford Endeavour 2.5L 4X2 MT,Ford,2008,400000,110000,Diesel
1110,Maruti Wagon R LXI,Maruti,2004,80000,60000,Petrol
1111,Maruti Alto 800 VXI,Maruti,2016,300000,30000,Petrol
1112,Mahindra KUV 100 D75 K2,Mahindra,2017,409999,40000,Diesel
1113,Maruti Swift Glam,Maruti,2009,250000,70000,Petrol
1114,Tata New Safari DICOR 2.2 EX 4x2,Tata,2010,250000,120000,Diesel
1115,Maruti Swift Dzire VDI,Maruti,2012,215000,80000,Diesel
1116,Toyota Fortuner 4x4 MT,Toyota,2015,1400000,120000,Diesel
1117,Honda Brio 1.2 VX MT,Honda,2018,475000,20000,Petrol
1118,Honda Brio 1.2 VX MT,Honda,2018,475000,22000,Petrol
1119,Chevrolet Spark 1.0 LS,Chevrolet,2008,75000,35000,Petrol
1120,Chevrolet Sail Hatchback LS ABS,Chevrolet,2013,200000,120000,Diesel
1121,Tata Tiago NRG Petrol,Tata,2019,575000,8000,Petrol
1122,Maruti Ritz VDi,Maruti,2011,150000,40000,Diesel
1123,Maruti Vitara Brezza ZDi Plus,Maruti,2018,850000,10000,Diesel
1124,Hyundai Santro Era,Hyundai,2019,350000,30000,Petrol
1125,Ford Endeavour 2.5L 4X2 MT,Ford,2011,550000,54000,Diesel
1126,Hyundai Verna 1.4 VTVT,Hyundai,2017,330000,80577,Petrol
1127,Honda City i-DTEC V,Honda,2017,1044999,25000,Diesel
1128,Hyundai Verna 1.6 CRDI,Hyundai,2011,300000,127500,Diesel
1129,Hyundai EON D Lite Plus,Hyundai,2015,235000,40903,Petrol
1130,Ford Figo Petrol Titanium,Ford,2011,120000,60000,Petrol
1131,Maruti Wagon R VXI,Maruti,2004,130000,46000,Petrol
1132,Ford Endeavour 4x4 XLT,Ford,2004,275000,22288,Diesel
1133,Volkswagen Jetta 2.0 TDI Trendline,Volkswagen,2011,270000,180000,Diesel
1134,Volkswagen Polo 1.5 TDI Highline,Volkswagen,2015,500000,30000,Diesel
1135,Hyundai Grand i10 Sportz,Hyundai,2015,400000,61690,Petrol
1136,Hyundai i20 Asta 1.2,Hyundai,2015,600000,64484,Petrol
1137,Audi Q5 2.0 TDI,Audi,2012,1350000,90000,Diesel
1138,Renault Duster 85PS Diesel RxE,Renault,2013,400000,75976,Diesel
1139,Ford Figo Diesel Titanium,Ford,2011,220000,70000,Diesel
1140,Honda Brio E MT,Honda,2012,300000,85962,Petrol
1141,Maruti Omni E MPI STD BS IV,Maruti,2018,250000,120000,Petrol
1142,Honda Mobilio V i DTEC,Honda,2015,600000,120000,Diesel
1143,Honda Brio S Option AT,Honda,2012,285000,75000,Petrol
1144,Honda Accord 2.4 MT,Honda,2009,350000,57035,Petrol
1145,Mahindra Bolero SLX,Mahindra,2011,170000,70000,Diesel
1146,Ford Figo 1.2P Ambiente MT,Ford,2015,229999,45000,Petrol
1147,Mahindra XUV500 W6 2WD,Mahindra,2013,500000,72104,Diesel
1148,Tata Nano Lx,Tata,2011,75000,15000,Petrol
1149,Hyundai i20 Active 1.2 SX,Hyundai,2016,600000,30000,Petrol
1150,Tata Indigo LS Dicor,Tata,2011,220000,80000,Diesel
1151,Tata Indica Vista Terra 1.4 TDI,Tata,2009,150000,164000,Diesel
1152,Maruti Alto LX,Maruti,2006,65000,124439,Petrol
1153,Maruti Zen VXI,Maruti,2006,120000,77000,Petrol
1154,Maruti Swift Dzire VDI,Maruti,2014,240000,90000,Diesel
1155,Renault KWID 1.0 RXT Optional,Renault,2017,390000,30000,Petrol
1156,Chevrolet Beat LS,Chevrolet,2012,180000,50000,Petrol
1157,Maruti Swift VDI,Maruti,2012,320000,80000,Diesel
1158,Maruti Alto 800 LXI,Maruti,2018,310000,5000,Petrol
1159,Maruti Wagon R AMT VXI,Maruti,2018,420000,24000,Petrol
1160,Tata Tiago NRG Petrol,Tata,2019,550000,10000,Petrol
1161,Maruti Ertiga SHVS VDI,Maruti,2016,550000,78000,Diesel
1162,Mahindra TUV 300 T4 Plus,Mahindra,2018,760000,50000,Diesel
1163,Maruti 800 AC BSII,Maruti,2001,43000,100000,Petrol
1164,Maruti Omni MPI STD BSIV,Maruti,2018,250000,20000,Petrol
1165,Hyundai Santro Magna BSIV,Hyundai,2019,500000,1250,Petrol
1166,Tata Zest Revotron 1.2 XT,Tata,2015,380000,17152,Petrol
1167,Mahindra XUV500 W11 Option AT AWD,Mahindra,2019,1850000,5000,Diesel
1168,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,2012,350000,77000,Diesel
1169,Hyundai Verna CRDi,Hyundai,2008,195000,90000,Diesel
1170,Chevrolet Beat LS,Chevrolet,2011,225000,80000,Petrol
1171,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2015,1125000,65000,Diesel
1172,Tata Indica Vista Quadrajet LX,Tata,2011,133000,80000,Diesel
1173,Hyundai EON Era Plus,Hyundai,2013,200000,24005,Petrol
1174,Maruti Vitara Brezza ZDi Plus,Maruti,2018,940000,20000,Diesel
1175,Renault Duster 85PS Diesel RxL,Renault,2014,400000,120000,Diesel
1176,Hyundai i10 Era 1.1,Hyundai,2009,120000,120000,Petrol
1177,Maruti Swift Dzire ZDI,Maruti,2015,625000,80000,Diesel
1178,Maruti Swift 1.3 VXi,Maruti,2005,110000,80000,Petrol
1179,Renault Duster 110PS Diesel RxZ,Renault,2012,490000,100000,Diesel
1180,Maruti Alto LX,Maruti,2009,140000,120000,Petrol
1181,Ford Figo Diesel ZXI,Ford,2011,175000,149000,Diesel
1182,Maruti Wagon R LXI BSIII,Maruti,2005,90000,65000,Petrol
1183,Maruti Swift Ldi BSIV,Maruti,2009,275000,100000,Diesel
1184,Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,65000,Diesel
1185,Datsun GO Plus T Option BSIV,Datsun,2018,270000,19000,Petrol
1186,Chevrolet Beat LT,Chevrolet,2010,130000,80000,Petrol
1187,Maruti Alto K10 VXI Airbag,Maruti,2015,275000,30000,Petrol
1188,Maruti Swift VDI,Maruti,2012,352000,109000,Diesel
1189,Hyundai EON LPG Magna Plus,Hyundai,2012,180000,90000,LPG
1190,Maruti Alto LX,Maruti,2012,150000,90000,Petrol
1191,Maruti Swift Vdi BSIII,Maruti,2010,300000,110000,Diesel
1192,Mahindra Bolero DI DX 7 Seater,Mahindra,2007,225000,120000,Diesel
1193,Honda Mobilio V i DTEC,Honda,2014,600000,44000,Diesel
1194,Maruti Ertiga BSIV ZXI,Maruti,2015,500000,80000,Petrol
1195,Honda BR-V i-VTEC S MT,Honda,2018,900000,5000,Petrol
1196,Hyundai i20 Magna 1.2,Hyundai,2016,600000,61000,Petrol
1197,Toyota Etios VD,Toyota,2011,450000,100000,Diesel
1198,Hyundai i10 Era 1.1,Hyundai,2009,270000,27633,Petrol
1199,Maruti Swift Vdi BSIII,Maruti,2010,310000,100000,Diesel
1200,Hyundai Santro Xing GLS Audio LPG,Hyundai,2012,250000,100000,LPG
1201,Ford Figo 1.2P Titanium MT,Ford,2019,700000,12586,Petrol
1202,Fiat Avventura Urban Cross 1.3 Multijet Emotion,Fiat,2018,650000,38083,Diesel
1203,Ford Figo Diesel ZXI,Ford,2012,400000,55328,Diesel
1204,Ford Figo Diesel Titanium,Ford,2012,425000,81632,Diesel
1205,Ford Aspire Titanium Diesel BSIV,Ford,2016,600000,155201,Diesel
1206,Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2013,600000,93283,Diesel
1207,Maruti Swift Ldi BSIII,Maruti,2009,300000,217871,Diesel
1208,Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2012,450000,90165,Diesel
1209,Ford Ecosport 1.5 DV5 MT Titanium,Ford,2014,750000,101504,Diesel
1210,Ford Figo Titanium Diesel BSIV,Ford,2010,325000,86017,Diesel
1211,Mahindra XUV500 W8 2WD,Mahindra,2013,900000,85036,Diesel
1212,Ford Ikon 1.3L Rocam Flair,Ford,2006,180000,91086,Petrol
1213,Fiat Punto 1.3 Emotion,Fiat,2013,350000,160254,Diesel
1214,Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2013,600000,125531,Diesel
1215,Honda WR-V i-DTEC V,Honda,2019,900000,60000,Diesel
1216,Skoda Laura L n K 1.9 PD,Skoda,2006,350000,100000,Diesel
1217,Maruti Ritz LDi,Maruti,2013,280000,90000,Diesel
1218,Mahindra Xylo D2,Mahindra,2009,225000,120000,Diesel
1219,Honda City i DTEC S,Honda,2014,520000,82000,Diesel
1220,Mahindra Scorpio 1.99 S4,Mahindra,2016,509999,60000,Diesel
1221,Maruti Baleno Alpha 1.2,Maruti,2019,556000,24000,Petrol
1222,Tata Indigo Grand Dicor,Tata,2014,225000,120000,Diesel
1223,Honda Amaze EX i-Dtech,Honda,2013,325000,65000,Diesel
1224,Maruti Swift VDI,Maruti,2013,365000,65000,Diesel
1225,Hyundai Creta 1.6 CRDi SX Plus,Hyundai,2015,850000,84000,Diesel
1226,Toyota Etios GD SP,Toyota,2013,350000,75000,Diesel
1227,Maruti Swift VDI,Maruti,2007,225000,50000,Diesel
1228,Maruti Alto LX,Maruti,2011,135000,50000,Petrol
1229,Maruti Wagon R LXI Minor,Maruti,2007,140000,49000,Petrol
1230,Maruti SX4 S Cross DDiS 320 Delta,Maruti,2016,665000,560000,Diesel
1231,Renault KWID RXT,Renault,2015,275000,14365,Petrol
1232,Toyota Fortuner 2.8 4WD AT BSIV,Toyota,2017,2750000,41000,Diesel
1233,Hyundai Verna 1.6 SX,Hyundai,2013,484999,65000,Diesel
1234,Maruti Ciaz VDi Option SHVS,Maruti,2015,565000,65000,Diesel
1235,Maruti Swift Dzire VDI,Maruti,2013,425000,61083,Diesel
1236,Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2013,925000,75000,Diesel
1237,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,Mahindra,2012,565000,72000,Diesel
1238,Renault Duster 110PS Diesel RxL,Renault,2014,525000,65000,Diesel
1239,Hyundai Tucson 2.0 e-VGT 2WD MT,Hyundai,2017,1650000,55000,Diesel
1240,Hyundai EON Era Plus,Hyundai,2015,295000,21000,Petrol
1241,Jaguar XF 5.0 Litre V8 Petrol,Jaguar,2012,2050000,66363,Petrol
1242,Hyundai Creta 1.6 VTVT AT SX Plus,Hyundai,2018,1475000,11700,Petrol
1243,Hyundai Verna VTVT 1.6 AT SX Option,Hyundai,2017,1100000,10000,Petrol
1244,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Mercedes-Benz,2014,4400000,100000,Diesel
1245,Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol
1246,Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel
1247,Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol
1248,Volkswagen Polo GTI,Volkswagen,2017,850000,20000,Petrol
1249,Renault Pulse RxL,Renault,2015,390000,61585,Diesel
1250,Maruti Celerio VXI AMT BSIV,Maruti,2016,450000,39415,Petrol
1251,Honda Brio V MT,Honda,2014,425000,29654,Petrol
1252,Maruti Baleno Alpha 1.3,Maruti,2016,770000,64672,Diesel
1253,Hyundai Creta 1.6 SX Automatic Diesel,Hyundai,2015,1150000,54634,Diesel
1254,Honda City i VTEC V,Honda,2015,775000,66521,Petrol
1255,Toyota Innova Crysta 2.4 GX AT,Toyota,2018,1725000,23974,Diesel
1256,BMW 3 Series 320d Luxury Line,BMW,2016,2150000,43000,Diesel
1257,Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel
1258,Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel
1259,Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel
1260,BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel
1261,Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel
1262,Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol
1263,Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol
1264,Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol
1265,Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol
1266,Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol
1267,Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel
1268,Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol
1269,Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel
1270,Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol
1271,Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel
1272,Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel
1273,Hyundai i20 Sportz 1.2,Hyundai,2013,350000,50000,Petrol
1274,Maruti Alto 800 LXI,Maruti,2014,114999,30000,Petrol
1275,Hyundai i20 Sportz 1.2,Hyundai,2013,380000,50000,Petrol
1276,Maruti Gypsy E MG410W ST,Maruti,1995,95000,100000,Petrol
1277,Mahindra Scorpio 1.99 S6 Plus,Mahindra,2016,900000,35000,Diesel
1278,Chevrolet Beat LT,Chevrolet,2012,200999,90000,Petrol
1279,Maruti Omni E MPI STD BS IV,Maruti,2014,229999,11451,Petrol
1280,Tata Nexon 1.5 Revotorq XZ,Tata,2019,800000,60000,Diesel
1281,Mahindra Verito 1.5 D4 BSIV,Mahindra,2012,150000,172000,Diesel
1282,Maruti Swift VDI,Maruti,2018,600000,60000,Diesel
1283,Chevrolet Tavera LS B3 7 Seats BSII,Chevrolet,2005,150000,150000,Diesel
1284,Chevrolet Optra Magnum 2.0 LS,Chevrolet,2009,150000,66000,Diesel
1285,Maruti Eeco 5 Seater Standard BSIV,Maruti,2019,380000,5000,Petrol
1286,Maruti Swift 1.3 VXi,Maruti,2006,80000,66508,Petrol
1287,Honda Civic 1.8 MT Sport,Honda,2007,225000,55000,Petrol
1288,Tata Nano Lx BSIV,Tata,2012,75000,29900,Petrol
1289,Tata Hexa XT 4X4,Tata,2017,1600000,3000,Diesel
1290,Tata Indica Vista Quadrajet VX,Tata,2012,185000,85000,Diesel
1291,Mahindra Scorpio 2.6 CRDe SLE,Mahindra,2011,425000,50000,Diesel
1292,Tata Indica Vista Aqua 1.4 TDI,Tata,2010,100000,120000,Diesel
1293,Maruti Zen Estilo LXI BSIII,Maruti,2008,140000,90000,Petrol
1294,Maruti Swift Dzire AMT ZXI Plus BS IV,Maruti,2017,710000,8000,Petrol
1295,Honda Amaze S AT i-Vtech,Honda,2015,450000,7900,Petrol
1296,Datsun RediGO T Option,Datsun,2017,210000,50000,Petrol
1297,Maruti Alto K10 VXI,Maruti,2016,270000,25000,Petrol
1298,Maruti Alto LXi,Maruti,2009,110000,20000,Petrol
1299,Maruti Swift VXI,Maruti,2018,540000,17500,Petrol
1300,Mahindra Renault Logan 1.4 GLX Petrol,Mahindra,2008,145000,25000,Petrol
1301,Tata Safari Storme VX,Tata,2013,360000,206500,Diesel
1302,Hyundai i10 Magna LPG,Hyundai,2013,250000,88600,LPG
1303,Tata Venture EX,Tata,2012,110000,80000,Diesel
1304,Chevrolet Captiva LT,Chevrolet,2008,250000,100000,Diesel
1305,Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2011,150000,186000,Diesel
1306,Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2010,140000,60000,Petrol
1307,Maruti Ciaz Zeta BSIV,Maruti,2019,925000,11000,Petrol
1308,Tata Hexa XM,Tata,2017,969999,30000,Diesel
1309,Hyundai Santro Xing GL PLUS CNG,Hyundai,2007,90000,80000,CNG
1310,Hyundai Santro GLS I - Euro I,Hyundai,2001,55000,60000,Petrol
1311,Hyundai Verna CRDi,Hyundai,2007,155000,100000,Diesel
1312,Mahindra Thar CRDe ABS,Mahindra,2019,900000,15000,Diesel
1313,Maruti Alto K10 2010-2014 VXI,Maruti,2011,135000,90000,Petrol
1314,Maruti 800 AC,Maruti,2012,180000,120000,Petrol
1315,Hyundai Verna 1.6 SX,Hyundai,2013,495000,100000,Diesel
1316,Toyota Innova 2.5 V Diesel 8-seater,Toyota,2009,400000,138000,Diesel
1317,Hyundai Verna CRDi,Hyundai,2008,250000,110000,Diesel
1318,Maruti Alto K10 LXI,Maruti,2015,138000,120000,Petrol
1319,Honda City 1.5 V AT,Honda,2011,311000,70000,Petrol
1320,Maruti Alto 800 VXI,Maruti,2015,190000,70000,Petrol
1321,Mahindra Bolero SLX,Mahindra,2011,311000,140000,Diesel
1322,Maruti Ritz LXI,Maruti,2009,300000,15000,Petrol
1323,Honda Jazz VX,Honda,2018,600000,20000,Petrol
1324,Mahindra Scorpio SLE BSIII,Mahindra,2009,550000,100000,Diesel
1325,Skoda Rapid 1.6 MPI AT Elegance Plus,Skoda,2015,600000,70000,Petrol
1326,Maruti Alto 800 VXI,Maruti,2018,195000,5000,Petrol
1327,Tata Nano LX,Tata,2013,58000,27974,Petrol
1328,Maruti Alto 800 VXI,Maruti,2018,183000,40000,Petrol
1329,Maruti Zen Estilo 1.1 VXI BSIII,Maruti,2007,95000,80000,Petrol
1330,Maruti Wagon R LX Minor,Maruti,2013,250000,38000,Petrol
1331,Tata Zest Revotron 1.2 XT,Tata,2014,400000,35000,Petrol
1332,Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,409999,60000,Diesel
1333,Skoda Octavia Classic 1.9 TDI MT,Skoda,2004,120000,120000,Diesel
1334,Maruti Swift AMT VXI,Maruti,2018,600000,18000,Petrol
1335,Honda Amaze SX i-VTEC,Honda,2016,600000,10000,Petrol
1336,Mahindra XUV500 W6 2WD,Mahindra,2015,825000,90000,Diesel
1337,Toyota Etios GD,Toyota,2016,625000,80000,Diesel
1338,Hyundai Grand i10 Nios Magna CRDi,Hyundai,2020,700000,1400,Diesel
1339,Chevrolet Beat LS,Chevrolet,2011,160000,60000,Petrol
1340,Maruti Alto LX,Maruti,2011,114999,60000,Petrol
1341,Maruti Wagon R LXI Minor,Maruti,2009,150000,53000,Petrol
1342,Volkswagen Jetta 1.9 L TDI,Volkswagen,2010,250000,100000,Diesel
1343,Hyundai Verna 1.6 SX,Hyundai,2012,390000,86000,Diesel
1344,Renault Duster 85PS Diesel RxL,Renault,2015,650000,100000,Diesel
1345,Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2016,600000,30000,Diesel
1346,Hyundai i20 1.2 Sportz,Hyundai,2011,250000,120000,Petrol
1347,Hyundai Santro Xing GL Plus LPG,Hyundai,2011,229999,60000,LPG
1348,Maruti Ritz LDi,Maruti,2016,299000,50000,Diesel
1349,Chevrolet Cruze LTZ,Chevrolet,2010,330000,124000,Diesel
1350,Hyundai Accent Executive,Hyundai,2012,180000,100000,Petrol
1351,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2017,475000,42000,Petrol
1352,Hyundai Grand i10 CRDi Sportz,Hyundai,2015,325000,100000,Diesel
1353,Honda City i VTEC V,Honda,2016,639000,28205,Petrol
1354,Maruti Celerio VXI AT,Maruti,2017,415000,32670,Petrol
1355,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,2016,1199000,30093,Diesel
1356,Maruti Ertiga VXI CNG,Maruti,2013,525000,56228,CNG
1357,Hyundai Verna 1.6 SX VTVT,Hyundai,2013,425000,59319,Petrol
1358,Maruti Vitara Brezza VDi,Maruti,2016,699000,39503,Diesel
1359,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Hyundai,2013,325000,35299,Petrol
1360,Toyota Etios V,Toyota,2011,275000,51687,Petrol
1361,Volkswagen Vento Petrol Highline AT,Volkswagen,2011,269000,76259,Petrol
1362,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2013,399000,44049,Diesel
1363,Mahindra KUV 100 mFALCON D75 K8,Mahindra,2017,475000,45087,Diesel
1364,Toyota Etios V,Toyota,2011,249000,41125,Petrol
1365,Audi A4 New  2.0 TDI Multitronic,Audi,2014,1549000,42215,Diesel
1366,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2011,254999,54206,Petrol
1367,Skoda Rapid 1.6 MPI Active,Skoda,2012,269000,52547,Petrol
1368,Maruti Ertiga ZDI,Maruti,2014,665000,59110,Diesel
1369,Maruti Wagon R Stingray LXI,Maruti,2014,299000,54565,Petrol
1370,Hyundai i20 Asta,Hyundai,2010,265000,47564,Petrol
1371,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2010,211000,45143,Petrol
1372,Skoda Superb 1.8 TSI,Skoda,2013,599000,61624,Petrol
1373,Tata Indigo LS,Tata,2007,55000,195000,Diesel
1374,Hyundai Verna 1.6 SX CRDi (O),Hyundai,2014,550000,50000,Diesel
1375,Land Rover Discovery Sport TD4 HSE 7S,Land,2018,4000000,68000,Diesel
1376,Tata Sumo GX TC 8 Str,Tata,2010,220000,120000,Diesel
1377,Maruti Swift VXI,Maruti,2019,500000,20000,Petrol
1378,Maruti Alto LXi,Maruti,2010,140000,30000,Petrol
1379,Maruti Swift VDI,Maruti,2013,325000,60000,Diesel
1380,Hyundai i20 Magna,Hyundai,2010,210000,90000,Petrol
1381,Maruti Alto LXi,Maruti,2008,110000,90000,Petrol
1382,Hyundai Verna CRDi 1.6 SX Option,Hyundai,2019,1200000,25000,Diesel
1383,Maruti Alto 800 VXI,Maruti,2017,229999,40000,Petrol
1384,Maruti Alto 800 LXI,Maruti,2006,165000,132000,Petrol
1385,Tata Tiago XZA AMT,Tata,2018,525000,10980,Petrol
1386,Hyundai EON Era Plus,Hyundai,2018,325000,20629,Petrol
1387,Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,2018,1500000,50000,Diesel
1388,Hyundai Grand i10 AT Asta,Hyundai,2015,400000,30000,Petrol
1389,Maruti Ciaz VXi,Maruti,2015,550000,69782,Petrol
1390,Maruti 800 Std,Maruti,2003,98000,54000,Petrol
1391,Mahindra XUV500 W8 4WD,Mahindra,2013,900000,63654,Diesel
1392,Renault Lodgy 85PS RxL,Renault,2017,700000,60000,Diesel
1393,Mahindra Scorpio S6 Plus 7 Seater,Mahindra,2015,890000,52000,Diesel
1394,Maruti Swift LDI BSIV,Maruti,2015,490000,59385,Diesel
1395,Hyundai i20 2015-2017 Magna 1.2,Hyundai,2015,525000,70378,Petrol
1396,Maruti Wagon R LXI BS IV,Maruti,2013,330000,55425,Petrol
1397,Mahindra Bolero 2011-2019 SLX 2WD BSIII,Mahindra,2013,550000,78413,Diesel
1398,Mahindra Bolero Power Plus SLX,Mahindra,2018,790000,40890,Diesel
1399,Honda Brio S MT,Honda,2015,350000,34823,Petrol
1400,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2017,1700000,75000,Diesel
1401,Maruti Ciaz VDI SHVS,Maruti,2017,750000,55545,Diesel
1402,Honda Amaze EX i-Dtech,Honda,2014,409999,56541,Diesel
1403,Hyundai EON Magna Plus,Hyundai,2016,220000,43700,Petrol
1404,Tata Indica GLS BS IV,Tata,2009,68000,120000,Petrol
1405,Hyundai EON Era Plus,Hyundai,2017,290000,20000,Petrol
1406,Honda City i DTec SV,Honda,2014,600000,27483,Diesel
1407,Maruti Swift LXI,Maruti,2019,470000,8000,Petrol
1408,Hyundai i10 Sportz 1.2,Hyundai,2008,150000,30000,Petrol
1409,Maruti Alto 800 LXI,Maruti,2014,180000,56207,Petrol
1410,Maruti Zen LXI,Maruti,2006,80000,70000,Petrol
1411,Honda WR-V i-VTEC VX,Honda,2018,875000,1440,Petrol
1412,Maruti Alto 800 LXI,Maruti,2019,300000,50000,Petrol
1413,Toyota Fortuner 2.8 2WD AT BSIV,Toyota,2017,2800000,20000,Diesel
1414,Toyota Innova Crysta 2.4 ZX MT,Toyota,2017,1330000,91195,Diesel
1415,Volkswagen Polo 1.5 TDI Trendline,Volkswagen,2011,220000,63657,Diesel
1416,Mahindra Verito Vibe 1.5 dCi D4,Mahindra,2013,250000,60000,Diesel
1417,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2016,919999,75000,Diesel
1418,Volkswagen Vento Magnific 1.6 Highline,Volkswagen,2013,380000,97248,Petrol
1419,Maruti Swift VDI,Maruti,2012,450000,46000,Diesel
1420,Hyundai Verna 1.6 VTVT AT S Option,Hyundai,2016,770000,10000,Petrol
1421,Maruti Swift Dzire LDI,Maruti,2018,550000,80000,Diesel
1422,Tata New Safari DICOR 2.2 GX 4x2,Tata,2011,320000,100000,Diesel
1423,Maruti SX4 Vxi BSIV,Maruti,2013,400000,35000,Petrol
1424,Maruti Celerio VXI AT,Maruti,2017,450000,50000,Petrol
1425,Maruti SX4 ZDI,Maruti,2011,220000,90000,Diesel
1426,Mahindra XUV500 W8 2WD,Mahindra,2012,400000,150000,Diesel
1427,Hyundai Verna 1.6 SX VTVT (O),Hyundai,2013,530000,89000,Petrol
1428,Maruti Swift Dzire VDI,Maruti,2014,390000,60000,Diesel
1429,Fiat Grande Punto 1.3 Dynamic (Diesel),Fiat,2012,185000,100000,Diesel
1430,Maruti SX4 Vxi BSIV,Maruti,2012,300000,100000,Petrol
1431,Maruti Swift VDI BSIV,Maruti,2014,575000,90000,Diesel
1432,Maruti Wagon R Stingray VXI,Maruti,2014,300000,75000,Petrol
1433,Toyota Etios Liva 1.4 VD,Toyota,2017,425000,36000,Diesel
1434,Hyundai Xcent 1.2 Kappa SX,Hyundai,2016,350000,12000,Petrol
1435,Honda Amaze VX O iDTEC,Honda,2017,550000,12997,Diesel
1436,Maruti Ciaz 1.4 AT Zeta,Maruti,2017,500000,40000,Petrol
1437,Mahindra Scorpio S4 4WD,Mahindra,2015,600000,60000,Diesel
1438,Mahindra Quanto C8,Mahindra,2013,300000,25000,Diesel
1439,Hyundai Verna CRDi 1.6 SX Option,Hyundai,2018,1150000,26430,Diesel
1440,Maruti Swift 1.3 VXI ABS,Maruti,2015,475000,24600,Petrol
1441,Maruti Wagon R LXI,Maruti,2011,260000,28481,Petrol
1442,Ford Ecosport 1.0 Ecoboost Titanium Optional,Ford,2013,350000,100000,Petrol
1443,Mahindra XUV500 W8 2WD,Mahindra,2013,750000,41988,Diesel
1444,Maruti Wagon R LXI,Maruti,2009,180000,30375,Petrol
1445,Renault KWID Climber 1.0 AMT BSIV,Renault,2017,350000,7658,Petrol
1446,Maruti Swift Dzire VDI,Maruti,2017,611000,34400,Diesel
1447,Renault KWID RXL BSIV,Renault,2017,325000,18500,Petrol
1448,Hyundai EON 1.0 Era Plus,Hyundai,2012,225000,48000,Petrol
1449,Maruti Wagon R AMT VXI,Maruti,2014,300000,28942,Petrol
1450,Mahindra Bolero Power Plus SLX,Mahindra,2017,400000,50000,Diesel
1451,Mahindra XUV500 W8 2WD,Mahindra,2012,711000,53600,Diesel
1452,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2015,851000,53652,Diesel
1453,Maruti Ertiga VXI,Maruti,2014,500000,25000,Petrol
1454,Toyota Innova 2.5 G4 Diesel 8-seater,Toyota,2007,250000,80000,Diesel
1455,Maruti Alto 800 VXI,Maruti,2017,150000,50000,Petrol
1456,Mahindra Scorpio 1.99 S10,Mahindra,2016,610000,15000,Diesel
1457,Mahindra KUV 100 G80 K2,Mahindra,2018,450000,5000,Petrol
1458,Hyundai i20 1.4 Asta Option,Hyundai,2017,744000,106000,Diesel
1459,Chevrolet Spark 1.0,Chevrolet,2008,120000,100000,Petrol
1460,Renault KWID RXL,Renault,2016,220000,60000,Petrol
1461,Maruti Ertiga ZDI,Maruti,2012,480000,120000,Diesel
1462,Maruti Celerio ZXI Optional AMT BSIV,Maruti,2017,370000,82000,Petrol
1463,Fiat Palio D 1.9 EL PS,Fiat,2003,55000,35000,Diesel
1464,Hyundai EON Magna Plus,Hyundai,2013,125000,205000,Petrol
